arraySize,Nanosecond
50000,109784.2
100000,80949.4
150000,123184.8
200000,174929.5
250000,218625.5
300000,356876.4
350000,291943.7
400000,355453.1
450000,450525.7
500000,537651.4
550000,567636.7
600000,658559.2
650000,693686.9
700000,720002
750000,686489.8
800000,758988.5
850000,827512.4
900000,953529.5
950000,876817.4
1000000,941238.3
