Array size,Reverse
50000,4831605
100000,4068735
150000,3975328
200000,6276052
250000,9614118
300000,10039830
350000,9640475
400000,13158247
450000,15767700
500000,17279885
550000,14539218
600000,24551045
650000,25565109
700000,25188787
750000,21418936
800000,21489935
850000,27234774
900000,36074759
950000,36585255
1000000,37675383
